codigo,grupo,nombre,energykcal,energykj,water,prot,fat,chocdf,choavl,fib,fibtg,ash,ca,p,zn,fe,beta,retinol,vita,thia,ribf,nia,vitc,asct
U30,"Tubérculos, raíces y derivados",Radiche,81,339,78,1.8,0.1,18.6,18.6,1.4,,1.5,104,52,,1.4,,3,,0.03,0.09,0.38,6,
U31,"Tubérculos, raíces y derivados",Remolacha raíz,43,180,87.6,1.6,0.2,9.6,6.8,1,2.8,1.1,16,40,0.35,0.8,,0,2,0.03,0.04,0.33,4.9,
U32,"Tubérculos, raíces y derivados",Sachapapa,112,469,72.2,1.8,1.5,23.5,19.4,0.4,4.1,1,3,30,0.24,0.7,,0,7,0.09,0.03,0.44,3.1,
U33,"Tubérculos, raíces y derivados","Sachapapa, tubérculo",141,590,62.6,2.7,0.1,33,33,,,1.6,5,59,,0.3,,,,0.17,0.03,,2.1,
U34,"Tubérculos, raíces y derivados",Yuca amarilla fresca sin cáscara,161,674,59,0.6,0.2,39.1,37.3,0.9,1.8,1.1,35,62,0.24,0.4,,15,1,0.03,0.04,0.66,36.3,
U35,"Tubérculos, raíces y derivados",Yuca asada,183,766,53.7,0.6,0.3,44.4,42.6,1.2,1.8,1,29,69,0.24,0.2,,39,1,0.02,0.01,0.79,22.9,
U36,"Tubérculos, raíces y derivados",Yuca blanca fresca sin cáscara,162,678,58.9,0.8,0.2,39.3,37.5,1.1,1.8,0.8,25,52,0.24,0.5,,1,1,0.04,0.04,0.76,30.7,
U37,"Tubérculos, raíces y derivados",Yuca blanca sancochada,150,628,62,0.5,0.2,36.4,34.6,1,1.8,0.9,26,60,0.24,0.2,,31,1,0.02,0.02,0.53,22.7,
U38,"Tubérculos, raíces y derivados","Yuca, harina de",335,1402,14.3,1.7,0.5,80.9,80.9,1.8,,2.6,155,110,,5.3,,0,,0.08,0.07,1.6,13.6,
V01,Tubérculos andinos,Oca variedad nativa caya oga con cáscara,30,126,82.6,0.8,0.4,15.4,6.2,,9.2,0.9,,,,3.84,,,,,,,30.85,
V02,Tubérculos andinos,Oca variedad nativa garwuaricra con cáscara,29,123,84.5,0.9,0.4,13.5,5.94,,7.6,0.7,,,,0.79,,,,,,,32.32,
V03,Tubérculos andinos,Papa variedad nativa capulí con cáscara ,115,483,65.7,1.2,0.3,31.5,27.13,,4.3,1.3,5,,,1.72,,,,,,,23.7,
V04,Tubérculos andinos,Papa variedad nativa caramarquina con cáscara,98,408,69.3,1.7,0.3,27.5,22.43,,5,1.2,6,,,1.1,,,,,,,22.62,
V05,Tubérculos andinos,Papa variedad nativa chimbina amarilla con cáscara,68,285,75.3,2.3,0.2,21,14.8,,6.2,1.2,,,,0.69,,,,,,,20.37,
V06,Tubérculos andinos,Papa variedad nativa huagalina con cáscara,54,225,77.9,2.4,0.2,18.3,11.22,,7.1,1.2,,,,0.56,,,,,,,24.44,
V07,Tubérculos andinos,Papa variedad nativa hualash con cáscara,54,224,78.6,2,0.4,17.6,11.01,,6.6,1.4,6,,,0.56,,,,,,,25.08,
V08,Tubérculos andinos,Papa variedad nativa huayro con cáscara,76,319,75.1,1.7,0.2,21.8,17.27,,4.5,1.1,,,,0.53,,,,,,,26.33,
V09,Tubérculos andinos,Papa variedad nativa huevo de toro con cáscara,72,301,73.8,2.4,0.3,22.4,15.61,,6.8,1.1,,,,0.66,,,,,,,18.94,
V10,Tubérculos andinos,Papa variedad nativa limeña con cáscara,68,286,75.2,2.5,0.3,20.9,14.6,,6.3,1.2,,,,0.53,,,,,,,19.47,
V11,Tubérculos andinos,Papa variedad nativa maga blanca con cáscara,65,271,76.8,3,0.3,18.9,13.45,,5.4,1.1,,,,0.42,,,,,,,22.98,
V12,Tubérculos andinos,Papa variedad nativa peruanita con cáscara,78,327,74.1,2,0.3,22.4,17.31,,5.1,1.2,,,,0.38,,,,,,,17.74,
V13,Tubérculos andinos,Papa variedad nativa puca pampamachay con cáscara ,81,339,71.9,2,0.2,24.8,18.33,,6.4,1.1,6,,,1.28,,,,,,,22.1,
V14,Tubérculos andinos,Papa variedad nativa Puca pishgosh con cáscara,99,416,68.8,1.9,0.5,27.5,22.41,,5,1.5,11,,,1.01,,,,,,,22.11,
V15,Tubérculos andinos,Papa variedad nativa quinuapa tulum con cáscara,70,293,74.3,1.9,0.5,21.8,15.1,,6.7,1.6,7,,,0.95,,,,,,,26.64,
V16,Tubérculos andinos,Papa variedad nativa sapa negra con cáscara,72,301,73.7,2.2,0.3,22.6,15.72,,6.9,1.2,,,,0.74,,,,,,,30.22,
V17,Tubérculos andinos,Papa variedad nativa yana shaque con cáscara,108,450,67.6,1.8,0.4,29.1,24.66,,4.5,1.1,6,,,0.86,,,,,,,24.02,
